iter	Passed	Remaining
812	3231	310
813	3236	306
814	3240	302
815	3245	298
816	3249	294
817	3256	290
818	3260	286
819	3265	282
820	3269	278
821	3273	274
822	3277	270
823	3282	266
824	3286	262
825	3291	259
826	3296	255
827	3301	251
828	3306	247
829	3310	243
830	3315	239
831	3319	235
832	3323	231
833	3327	227
834	3331	223
835	3334	219
836	3338	215
837	3342	211
838	3345	207
839	3348	203
840	3353	199
841	3356	195
842	3360	191
843	3363	187
844	3368	183
845	3372	179
846	3375	175
847	3379	171
848	3383	167
849	3387	163
850	3390	159
851	3393	155
852	3397	151
853	3400	147
854	3403	143
855	3407	139
856	3411	135
857	3415	131
858	3419	127
859	3422	123
860	3426	119
861	3430	115
862	3433	111
863	3437	107
864	3440	103
865	3444	99
866	3448	95
867	3451	91
868	3454	87
869	3458	83
870	3461	79
871	3465	75
872	3470	71
873	3474	67
874	3477	63
875	3482	59
876	3487	55
877	3491	51
878	3495	47
879	3501	43
880	3505	39
881	3509	35
882	3515	31
883	3518	27
884	3522	23
885	3526	19
886	3532	15
887	3537	11
888	3542	7
889	3548	3
890	3552	0
